cod_jur,Jurisdiccion,Cod ISO 3166 alpha 2,Capital,Gobernador,pob_j_2015,pob_j_2016,pob_j_2017,pob_j_2018,pob_j_2019,pob_j_2020,pob_j_2021,pob_j_2022,pob_j_2023,pob_j_2024,pob_j_2025
2,Ciudad Autónoma de Buenos Aires,AR-C,Ciudad Autónoma de Buenos Aires,Horacio Rodríguez Larreta,3054267,3059122,3063728,3068043,3072029,3075646,3078836,3081550,3083770,3085483,3086680
6,Buenos Aires,AR-B,La Plata,Axel Kicillof,16659931,16841135,17020012,17196396,17370144,17541141,17709598,17875743,18039509,18200851,18359753
10,Catamarca,AR-K,San Fernando del Valle de Catamarca,Raúl Jalil,396895,400678,404433,408152,411824,415438,418991,422476,425885,429208,432438
14,Córdoba,AR-X,Córdoba,Juan Schiaretti,3567654,3606540,3645321,3683937,3722332,3760450,3798261,3835738,3872830,3909489,3945677
18,Corrientes,AR-W,Corrientes,Gustavo Valdés,1070283,1080655,1090938,1101084,1111052,1120801,1130320,1139604,1148631,1157386,1165860
22,Chaco,AR-H,Resistencia,Jorge Capitanich,1143201,1155723,1168165,1180477,1192616,1204541,1216247,1227736,1238989,1249992,1260737
26,Chubut,AR-U,Rawson,Mariano Arcioni,566922,577466,587956,598380,608729,618994,629181,639294,649330,659284,669155
30,Entre Ríos,AR-E,Paraná,Gustavo Bordet,1321415,1334489,1347508,1360443,1373270,1385961,1398510,1410908,1423136,1435177,1447019
34,Formosa,AR-P,Formosa,Gildo Insfrán,579250,584614,589916,595129,600229,605193,610019,614706,619240,623605,627790
38,Jujuy,AR-Y,San Salvador de Jujuy,Gerardo Morales,727780,736542,745252,753891,762440,770881,779212,787436,795539,803507,811328
42,La Pampa,AR-L,Santa Rosa,Carlos Verna,343056,346191,349299,352378,355422,358428,361394,364322,367207,370047,372838
46,La Rioja,AR-F,La Rioja,Ricardo Quintela,367728,372879,378047,383220,388386,393531,398648,403727,408760,413735,418645
50,Mendoza,AR-M,Mendoza,Rodolfo Suárez,1885551,1907045,1928304,1949293,1969982,1990338,2010363,2030061,2049411,2068396,2087006
54,Misiones,AR-N,Posadas,Oscar Herrera Ahuad,1189446,1204182,1218771,1233177,1247362,1261294,1274992,1288476,1301723,1314714,1327431
58,Neuquén,AR-Q,Neuquén,Omar Gutiérrez,619745,628897,637913,646784,655501,664057,672461,680726,688850,696833,704673
62,Río Negro,AR-R,Viedma,Arabela Carreras,698874,708799,718646,728403,738060,747610,757052,766387,775610,784715,793697
66,Salta,AR-A,Salta,Gustavo Sáenz,1333365,1351878,1370283,1388532,1406584,1424397,1441988,1459378,1476539,1493448,1510087
70,San Juan,AR-J,San Juan,Sergio Uñac,738959,747488,755994,764464,772876,781217,789489,797697,805830,813878,821835
74,San Luis,AR-D,San Luis,Alberto Rodríguez Saá,476351,482796,489225,495629,502000,508328,514610,520845,527023,533137,539178
78,Santa Cruz,AR-Z,Río Gallegos,Alicia Kirchner,320469,329499,338542,347593,356647,365698,374756,383827,392904,401984,411065
82,Santa Fe,AR-S,Santa Fe,Omar Perotti,3397532,3425656,3453674,3481514,3509113,3536418,3563390,3589999,3616227,3642063,3667505
86,Santiago del Estero,AR-G,Santiago del Estero,Gerardo Zamora,928097,938109,948172,958251,968309,978313,988245,998093,1007830,1017428,1026866
90,Tucumán,AR-T,San Miguel de Tucumán,Juan Luis Manzur,1592878,1613476,1633992,1654388,1674622,1694656,1714487,1734118,1753523,1772680,1791571
94,Tierra del Fuego - Antártida - Islas del Atlántico Sur,AR-V,Ushuaia,Gustavo Melella,152317,156509,160720,164944,169183,173432,177697,181983,186285,190601,194926
